Grasp 1,Grasp 2,Grasp 3,Grasp 4,Grasp 5,Grasp 6
0.8483673469387755,0.8455102040816327,0.8477551020408164,0.8457142857142858,0.8555102040816326,0.8587755102040816
0.6387755102040816,0.6575510204081633,0.6555102040816326,0.6777551020408163,0.6628571428571429,0.6459183673469389
0.7393877551020408,0.7326530612244898,0.7351020408163265,0.7271428571428571,0.7157142857142859,0.7195918367346937
0.8318367346938775,0.8340816326530612,0.8346938775510203,0.830204081632653,0.8216326530612245,0.8218367346938775
0.8042857142857143,0.8020408163265307,0.8046938775510204,0.8032653061224491,0.7920408163265306,0.793061224489796
0.9097959183673469,0.9075510204081633,0.9085714285714286,0.9012244897959183,0.9057142857142857,0.9048979591836736
0.8649114814121367,0.8675718238365683,0.8626713682414862,0.8651228442447316,0.8716673947866609,0.8753273419459526
0.8553061224489797,0.853265306122449,0.8604081632653061,0.8671428571428571,0.8630612244897959,0.8544897959183674
0.9575510204081633,0.9614285714285714,0.9636734693877551,0.9646938775510204,0.9610204081632652,0.9546938775510203
0.8861698807963553,0.8953487694772099,0.8902473527637355,0.892076182154819,0.8943214961825708,0.891884790613493
