subject,acc,pos,mean_acc
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",1,0.9713831485606594
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",2,0.9358278043927332
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",3,0.9767877430399144
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",4,0.9358169861797154
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",5,0.9631802404645325
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",6,0.9103440116170628
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",7,0.9705190133349619
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",8,0.9438052684403166
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",9,0.9713490483010483
2,"[array([0.9724238 , 0.92781833, 0.96907216, 0.88537549, 0.9434629 ,
       0.89669421, 0.95771878, 0.93067227, 0.96276013, 0.44312169]), array([0.97840756, 0.93281654, 0.96780303, 0.95124113, 0.97091531,
       0.93607706, 0.97548605, 0.92976104, 0.97395243, 0.40604629]), array([0.95931142, 0.92432872, 0.9807074 , 0.94234592, 0.96494845,
       0.9153527 , 0.97413793, 0.9375    , 0.95541401, 0.43480726]), array([0.9696    , 0.95121951, 0.9819955 , 0.93557692, 0.9562109 ,
       0.87828162, 0.97307692, 0.95415695, 0.98442064, 0.42001323]), array([0.97717296, 0.94295592, 0.98436063, 0.96454545, 0.98036364,
       0.92531447, 0.97217538, 0.96693608, 0.98019802, 0.41224258])]",10,0.4232462109177579
