pos,mean,std
1,0.9380939522680122,0.024986369822496437
2,0.9160417223078575,0.06393326593666131
3,0.9308477458796216,0.03843208259514365
4,0.9290396586922748,0.018347063325118707
5,0.9260590245806377,0.03935202075897697
6,0.9328792543865615,0.032210545360498555
7,0.9462221196065574,0.020978413434288624
8,0.9293483348371663,0.03188355072981517
9,0.9415188262218062,0.03310748457954086
10,0.5455195643012156,0.057695704233811325
