grasp,mean,std
1,0.8081660997732426,0.0774435264131615
2,0.8094107898522024,0.09092620213667857
3,0.8002629553350392,0.08544089704767545
4,0.8452216744092433,0.06375955772017768
5,0.8456644956828763,0.04471609338224887
6,0.793552341425867,0.11864679674296819
